Altitude                 Rho                      Temperture               Pressure                 SpeedOfSound             
260.000000               1.257479                 289.827400               104561.203829            341.251592               
261.000000               1.257598                 289.833890               104573.510820            341.255413               
262.000000               1.257718                 289.840380               104585.818984            341.259234               
263.000000               1.257838                 289.846870               104598.128321            341.263054               
264.000000               1.257958                 289.853360               104610.438831            341.266875               
265.000000               1.258078                 289.859850               104622.750514            341.270696               
266.000000               1.258198                 289.866340               104635.063371            341.274516               
267.000000               1.258318                 289.872830               104647.377400            341.278337               
268.000000               1.258438                 289.879320               104659.692604            341.282157               
269.000000               1.258557                 289.885810               104672.008980            341.285978               
270.000000               1.258677                 289.892300               104684.326531            341.289798               
271.000000               1.258797                 289.898790               104696.645255            341.293618               
272.000000               1.258917                 289.905280               104708.965153            341.297438               
273.000000               1.259037                 289.911770               104721.286224            341.301259               
274.000000               1.259157                 289.918260               104733.608470            341.305079               
275.000000               1.259277                 289.924750               104745.931890            341.308899               
276.000000               1.259397                 289.931240               104758.256484            341.312719               
277.000000               1.259517                 289.937730               104770.582252            341.316539               
278.000000               1.259637                 289.944220               104782.909194            341.320359               
279.000000               1.259757                 289.950710               104795.237311            341.324179               
280.000000               1.259877                 289.957200               104807.566602            341.327999               
281.000000               1.259997                 289.963690               104819.897067            341.331819               
282.000000               1.260117                 289.970180               104832.228708            341.335639               
283.000000               1.260237                 289.976670               104844.561523            341.339459               
284.000000               1.260357                 289.983160               104856.895513            341.343278               
285.000000               1.260477                 289.989650               104869.230677            341.347098               
286.000000               1.260597                 289.996140               104881.567017            341.350918               
287.000000               1.260717                 290.002630               104893.904532            341.354737               
288.000000               1.260838                 290.009120               104906.243222            341.358557               
289.000000               1.260958                 290.015610               104918.583087            341.362377               
290.000000               1.261078                 290.022100               104930.924128            341.366196               
291.000000               1.261198                 290.028590               104943.266343            341.370015               
292.000000               1.261318                 290.035080               104955.609735            341.373835               
293.000000               1.261438                 290.041570               104967.954302            341.377654               
294.000000               1.261558                 290.048060               104980.300044            341.381474               
295.000000               1.261678                 290.054550               104992.646963            341.385293               
296.000000               1.261799                 290.061040               105004.995057            341.389112               
297.000000               1.261919                 290.067530               105017.344327            341.392931               
298.000000               1.262039                 290.074020               105029.694773            341.396750               
299.000000               1.262159                 290.080510               105042.046395            341.400570               
300.000000               1.262279                 290.087000               105054.399194            341.404389               
301.000000               1.262399                 290.093490               105066.753169            341.408208               
302.000000               1.262520                 290.099980               105079.108320            341.412027               
303.000000               1.262640                 290.106470               105091.464647            341.415846               
304.000000               1.262760                 290.112960               105103.822151            341.419665               
305.000000               1.262880                 290.119450               105116.180832            341.423483               
306.000000               1.263001                 290.125940               105128.540689            341.427302               
307.000000               1.263121                 290.132430               105140.901723            341.431121               
308.000000               1.263241                 290.138920               105153.263934            341.434940               
309.000000               1.263361                 290.145410               105165.627322            341.438758               
310.000000               1.263482                 290.151900               105177.991886            341.442577               
311.000000               1.263602                 290.158390               105190.357628            341.446396               
312.000000               1.263722                 290.164880               105202.724548            341.450214               
313.000000               1.263842                 290.171370               105215.092644            341.454033               
314.000000               1.263963                 290.177860               105227.461918            341.457851               
315.000000               1.264083                 290.184350               105239.832369            341.461670               
316.000000               1.264203                 290.190840               105252.203998            341.465488               
317.000000               1.264324                 290.197330               105264.576805            341.469306               
318.000000               1.264444                 290.203820               105276.950789            341.473125               
319.000000               1.264564                 290.210310               105289.325951            341.476943               
320.000000               1.264685                 290.216800               105301.702291            341.480761               
321.000000               1.264805                 290.223290               105314.079809            341.484579               
322.000000               1.264926                 290.229780               105326.458505            341.488397               
323.000000               1.265046                 290.236270               105338.838379            341.492216               
324.000000               1.265166                 290.242760               105351.219431            341.496034               
325.000000               1.265287                 290.249250               105363.601662            341.499852               
326.000000               1.265407                 290.255740               105375.985071            341.503670               
327.000000               1.265528                 290.262230               105388.369659            341.507487               
328.000000               1.265648                 290.268720               105400.755425            341.511305               
329.000000               1.265768                 290.275210               105413.142370            341.515123               
330.000000               1.265889                 290.281700               105425.530493            341.518941               
331.000000               1.266009                 290.288190               105437.919795            341.522759               
332.000000               1.266130                 290.294680               105450.310277            341.526576               
333.000000               1.266250                 290.301170               105462.701937            341.530394               
334.000000               1.266371                 290.307660               105475.094776            341.534212               
335.000000               1.266491                 290.314150               105487.488795            341.538029               
336.000000               1.266612                 290.320640               105499.883993            341.541847               
337.000000               1.266732                 290.327130               105512.280370            341.545664               
338.000000               1.266853                 290.333620               105524.677927            341.549482               
