FlightTime [s]           Gamma                    Chi                      
5.780000                 0.003278                 0.000254                 
5.790000                 0.003280                 0.000255                 
5.800000                 0.003281                 0.000256                 
5.810000                 0.003283                 0.000257                 
5.820000                 0.003284                 0.000258                 
5.830000                 0.003285                 0.000259                 
5.840000                 0.003287                 0.000260                 
5.850000                 0.003288                 0.000261                 
5.860000                 0.003290                 0.000262                 
5.870000                 0.003291                 0.000262                 
5.880000                 0.003292                 0.000263                 
5.890000                 0.003293                 0.000264                 
5.900000                 0.003295                 0.000265                 
5.910000                 0.003296                 0.000266                 
