FlightTime [s]           F_x                      F_y                      F_z                      M_x                      M_x                      M_y                      M_z                      
1.910000                 11547.785939             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.920000                 11545.837960             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.930000                 11546.753622             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.940000                 11550.448143             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.950000                 11556.832360             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.960000                 11565.813052             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.970000                 11577.293267             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.980000                 11591.172656             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.990000                 11607.347797             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.000000                 11625.712531             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.010000                 11646.158289             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.020000                 11668.574421             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.030000                 11692.848524             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.040000                 11718.866761             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.050000                 11746.514182             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.060000                 11775.675037             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.070000                 11806.233086             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.080000                 11838.071900             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.090000                 11871.075159             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.100000                 11905.126938             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.110000                 11940.111990             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.120000                 11975.916016             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.130000                 12012.425930             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.140000                 12049.530112             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.150000                 12087.118653             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.160000                 12125.083586             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.170000                 12163.319112             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.180000                 12201.721807             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.190000                 12240.190831             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.200000                 12278.628106             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.210000                 12316.938502             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
2.220000                 12355.029997             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
