Eta                      Xi                       Zeta                     Delta                    
0.022590                 -0.000032                -0.000020                0.205805                 
0.022586                 -0.000031                -0.000019                0.205758                 
0.022582                 -0.000031                -0.000019                0.205709                 
0.022580                 -0.000031                -0.000019                0.205659                 
0.022578                 -0.000031                -0.000018                0.205609                 
0.022578                 -0.000031                -0.000018                0.205558                 
0.022579                 -0.000030                -0.000018                0.205506                 
0.022580                 -0.000030                -0.000017                0.205454                 
0.022583                 -0.000030                -0.000017                0.205403                 
0.022587                 -0.000030                -0.000017                0.205351                 
0.022591                 -0.000030                -0.000016                0.205299                 
0.022597                 -0.000029                -0.000016                0.205249                 
0.022603                 -0.000029                -0.000016                0.205198                 
0.022611                 -0.000029                -0.000016                0.205149                 
0.022619                 -0.000029                -0.000015                0.205101                 
0.022628                 -0.000029                -0.000015                0.205054                 
0.022637                 -0.000029                -0.000015                0.205008                 
0.022648                 -0.000028                -0.000015                0.204964                 
0.022659                 -0.000028                -0.000015                0.204921                 
0.022670                 -0.000028                -0.000014                0.204880                 
0.022682                 -0.000028                -0.000014                0.204841                 
0.022695                 -0.000028                -0.000014                0.204805                 
0.022708                 -0.000028                -0.000014                0.204770                 
0.022722                 -0.000028                -0.000014                0.204737                 
0.022736                 -0.000028                -0.000014                0.204707                 
0.022750                 -0.000028                -0.000014                0.204679                 
0.022765                 -0.000028                -0.000014                0.204653                 
0.022780                 -0.000028                -0.000014                0.204630                 
0.022795                 -0.000028                -0.000014                0.204610                 
0.022811                 -0.000028                -0.000015                0.204592                 
0.022826                 -0.000028                -0.000015                0.204576                 
0.022842                 -0.000028                -0.000015                0.204564                 
0.022857                 -0.000028                -0.000015                0.204554                 
0.022873                 -0.000028                -0.000015                0.204547                 
0.022889                 -0.000028                -0.000015                0.204542                 
0.022904                 -0.000028                -0.000016                0.204540                 
0.022919                 -0.000028                -0.000016                0.204541                 
0.022934                 -0.000028                -0.000016                0.204544                 
0.022949                 -0.000029                -0.000016                0.204550                 
0.022964                 -0.000029                -0.000016                0.204558                 
0.022978                 -0.000029                -0.000017                0.204569                 
0.022992                 -0.000029                -0.000017                0.204582                 
0.023006                 -0.000029                -0.000017                0.204597                 
0.023019                 -0.000029                -0.000017                0.204615                 
0.023032                 -0.000029                -0.000018                0.204635                 
0.023044                 -0.000029                -0.000018                0.204657                 
0.023056                 -0.000030                -0.000018                0.204681                 
0.023068                 -0.000030                -0.000018                0.204707                 
0.023079                 -0.000030                -0.000019                0.204735                 
0.023089                 -0.000030                -0.000019                0.204765                 
0.023099                 -0.000030                -0.000019                0.204796                 
0.023108                 -0.000030                -0.000019                0.204828                 
0.023117                 -0.000030                -0.000020                0.204862                 
0.023125                 -0.000030                -0.000020                0.204897                 
0.023132                 -0.000031                -0.000020                0.204933                 
0.023139                 -0.000031                -0.000020                0.204971                 
0.023145                 -0.000031                -0.000021                0.205009                 
0.023150                 -0.000031                -0.000021                0.205047                 
0.023155                 -0.000031                -0.000021                0.205087                 
0.023160                 -0.000031                -0.000021                0.205127                 
0.023163                 -0.000031                -0.000021                0.205167                 
0.023166                 -0.000031                -0.000021                0.205207                 
0.023168                 -0.000031                -0.000021                0.205248                 
