Eta                      Xi                       Zeta                     Delta                    
0.022602                 0.000759                 -0.001091                0.204334                 
0.022558                 0.000540                 -0.001397                0.204283                 
0.022514                 0.000320                 -0.001693                0.204229                 
0.022472                 0.000098                 -0.001977                0.204171                 
0.022432                 -0.000123                -0.002247                0.204111                 
0.022393                 -0.000343                -0.002503                0.204048                 
0.022357                 -0.000559                -0.002743                0.203982                 
0.022322                 -0.000772                -0.002966                0.203915                 
0.022290                 -0.000979                -0.003171                0.203845                 
0.022260                 -0.001180                -0.003358                0.203774                 
0.022233                 -0.001374                -0.003526                0.203701                 
0.022208                 -0.001560                -0.003673                0.203627                 
0.022186                 -0.001736                -0.003800                0.203553                 
0.022166                 -0.001903                -0.003907                0.203477                 
0.022150                 -0.002059                -0.003992                0.203402                 
0.022136                 -0.002204                -0.004055                0.203327                 
0.022125                 -0.002337                -0.004097                0.203252                 
0.022118                 -0.002458                -0.004118                0.203178                 
0.022113                 -0.002565                -0.004117                0.203104                 
0.022111                 -0.002660                -0.004096                0.203032                 
0.022112                 -0.002741                -0.004054                0.202962                 
0.022116                 -0.002808                -0.003992                0.202893                 
0.022123                 -0.002861                -0.003910                0.202826                 
0.022133                 -0.002900                -0.003810                0.202762                 
0.022145                 -0.002925                -0.003691                0.202700                 
0.022161                 -0.002937                -0.003555                0.202641                 
0.022178                 -0.002935                -0.003403                0.202585                 
0.022199                 -0.002919                -0.003236                0.202532                 
0.022221                 -0.002891                -0.003054                0.202482                 
0.022246                 -0.002849                -0.002860                0.202436                 
0.022273                 -0.002796                -0.002653                0.202395                 
0.022302                 -0.002730                -0.002436                0.202357                 
0.022333                 -0.002653                -0.002209                0.202323                 
0.022366                 -0.002566                -0.001974                0.202293                 
0.022400                 -0.002469                -0.001733                0.202268                 
0.022436                 -0.002363                -0.001486                0.202247                 
0.022472                 -0.002248                -0.001234                0.202230                 
0.022510                 -0.002125                -0.000980                0.202219                 
0.022549                 -0.001995                -0.000725                0.202212                 
0.022588                 -0.001859                -0.000469                0.202209                 
0.022628                 -0.001718                -0.000215                0.202211                 
0.022668                 -0.001573                0.000037                 0.202218                 
0.022708                 -0.001423                0.000285                 0.202230                 
0.022748                 -0.001272                0.000529                 0.202246                 
0.022788                 -0.001118                0.000766                 0.202267                 
0.022827                 -0.000963                0.000995                 0.202292                 
0.022866                 -0.000808                0.001217                 0.202321                 
0.022904                 -0.000654                0.001429                 0.202355                 
0.022941                 -0.000502                0.001631                 0.202393                 
0.022977                 -0.000351                0.001821                 0.202434                 
0.023012                 -0.000204                0.002000                 0.202480                 
0.023046                 -0.000061                0.002166                 0.202529                 
0.023078                 0.000078                 0.002318                 0.202582                 
0.023108                 0.000212                 0.002457                 0.202638                 
0.023136                 0.000340                 0.002581                 0.202697                 
0.023163                 0.000462                 0.002690                 0.202759                 
0.023188                 0.000576                 0.002784                 0.202824                 
0.023211                 0.000684                 0.002862                 0.202891                 
0.023231                 0.000783                 0.002925                 0.202960                 
0.023250                 0.000874                 0.002972                 0.203031                 
0.023266                 0.000957                 0.003003                 0.203104                 
0.023280                 0.001031                 0.003019                 0.203178                 
0.023291                 0.001095                 0.003019                 0.203253                 
0.023300                 0.001150                 0.003004                 0.203329                 
0.023307                 0.001196                 0.002974                 0.203406                 
0.023311                 0.001233                 0.002929                 0.203484                 
0.023313                 0.001260                 0.002870                 0.203561                 
0.023313                 0.001277                 0.002797                 0.203638                 
0.023310                 0.001285                 0.002711                 0.203715                 
0.023305                 0.001283                 0.002613                 0.203792                 
0.023298                 0.001273                 0.002503                 0.203867                 
0.023289                 0.001253                 0.002382                 0.203941                 
0.023277                 0.001225                 0.002251                 0.204014                 
0.023264                 0.001189                 0.002111                 0.204086                 
0.023248                 0.001144                 0.001962                 0.204155                 
0.023231                 0.001092                 0.001805                 0.204223                 
0.023212                 0.001033                 0.001641                 0.204288                 
0.023191                 0.000967                 0.001472                 0.204351                 
0.023169                 0.000894                 0.001297                 0.204412                 
0.023145                 0.000816                 0.001119                 0.204469                 
0.023120                 0.000732                 0.000938                 0.204524                 
0.023093                 0.000644                 0.000754                 0.204576                 
0.023066                 0.000551                 0.000570                 0.204625                 
0.023038                 0.000455                 0.000386                 0.204670                 
0.023009                 0.000355                 0.000202                 0.204713                 
0.022979                 0.000253                 0.000020                 0.204751                 
0.022949                 0.000149                 -0.000160                0.204787                 
0.022918                 0.000044                 -0.000335                0.204818                 
0.022887                 -0.000062                -0.000507                0.204847                 
0.022856                 -0.000168                -0.000674                0.204871                 
0.022825                 -0.000274                -0.000834                0.204892                 
0.022795                 -0.000379                -0.000988                0.204909                 
0.022764                 -0.000483                -0.001135                0.204923                 
0.022734                 -0.000585                -0.001274                0.204933                 
0.022705                 -0.000684                -0.001405                0.204940                 
0.022676                 -0.000780                -0.001527                0.204943                 
0.022648                 -0.000873                -0.001639                0.204942                 
0.022621                 -0.000963                -0.001742                0.204939                 
0.022595                 -0.001048                -0.001834                0.204932                 
0.022570                 -0.001128                -0.001916                0.204922                 
0.022546                 -0.001204                -0.001987                0.204909                 
0.022523                 -0.001274                -0.002047                0.204893                 
0.022502                 -0.001339                -0.002096                0.204874                 
0.022482                 -0.001398                -0.002134                0.204853                 
0.022464                 -0.001451                -0.002161                0.204829                 
0.022447                 -0.001498                -0.002177                0.204803                 
0.022432                 -0.001539                -0.002182                0.204775                 
0.022418                 -0.001574                -0.002176                0.204745                 
0.022406                 -0.001602                -0.002160                0.204713                 
0.022396                 -0.001624                -0.002133                0.204679                 
0.022387                 -0.001639                -0.002096                0.204644                 
0.022380                 -0.001648                -0.002050                0.204608                 
0.022375                 -0.001651                -0.001994                0.204571                 
0.022371                 -0.001647                -0.001929                0.204533                 
0.022369                 -0.001638                -0.001856                0.204494                 
0.022369                 -0.001622                -0.001775                0.204455                 
0.022371                 -0.001601                -0.001687                0.204415                 
0.022374                 -0.001574                -0.001592                0.204375                 
0.022378                 -0.001542                -0.001491                0.204336                 
0.022384                 -0.001504                -0.001384                0.204296                 
0.022392                 -0.001462                -0.001272                0.204257                 
0.022401                 -0.001416                -0.001156                0.204219                 
0.022411                 -0.001366                -0.001036                0.204181                 
0.022422                 -0.001311                -0.000913                0.204145                 
0.022435                 -0.001254                -0.000788                0.204109                 
0.022449                 -0.001193                -0.000661                0.204074                 
0.022464                 -0.001129                -0.000533                0.204041                 
0.022479                 -0.001064                -0.000405                0.204010                 
0.022496                 -0.000996                -0.000277                0.203980                 
0.022513                 -0.000927                -0.000150                0.203951                 
0.022531                 -0.000856                -0.000025                0.203925                 
0.022550                 -0.000785                0.000098                 0.203900                 
0.022568                 -0.000713                0.000219                 0.203878                 
0.022588                 -0.000642                0.000336                 0.203857                 
0.022607                 -0.000571                0.000450                 0.203839                 
0.022627                 -0.000500                0.000559                 0.203823                 
0.022647                 -0.000430                0.000663                 0.203809                 
0.022667                 -0.000362                0.000762                 0.203797                 
0.022687                 -0.000296                0.000855                 0.203788                 
0.022707                 -0.000232                0.000943                 0.203781                 
0.022726                 -0.000170                0.001024                 0.203776                 
0.022745                 -0.000110                0.001098                 0.203774                 
0.022764                 -0.000054                0.001166                 0.203774                 
0.022782                 -0.000000                0.001226                 0.203776                 
0.022800                 0.000050                 0.001279                 0.203780                 
0.022816                 0.000096                 0.001325                 0.203787                 
0.022833                 0.000139                 0.001363                 0.203796                 
0.022848                 0.000178                 0.001394                 0.203807                 
0.022863                 0.000213                 0.001417                 0.203821                 
0.022877                 0.000244                 0.001432                 0.203836                 
0.022889                 0.000271                 0.001440                 0.203853                 
0.022901                 0.000294                 0.001440                 0.203872                 
0.022912                 0.000312                 0.001433                 0.203893                 
0.022922                 0.000326                 0.001419                 0.203915                 
0.022931                 0.000336                 0.001398                 0.203939                 
0.022939                 0.000342                 0.001370                 0.203965                 
0.022945                 0.000343                 0.001336                 0.203991                 
0.022951                 0.000341                 0.001295                 0.204019                 
0.022956                 0.000334                 0.001249                 0.204049                 
0.022959                 0.000323                 0.001197                 0.204079                 
0.022961                 0.000309                 0.001140                 0.204110                 
0.022963                 0.000291                 0.001078                 0.204142                 
0.022963                 0.000269                 0.001011                 0.204175                 
0.022962                 0.000244                 0.000941                 0.204208                 
0.022960                 0.000216                 0.000867                 0.204242                 
0.022957                 0.000186                 0.000789                 0.204276                 
0.022954                 0.000152                 0.000709                 0.204310                 
0.022949                 0.000116                 0.000627                 0.204344                 
0.022943                 0.000078                 0.000543                 0.204379                 
0.022937                 0.000037                 0.000457                 0.204413                 
0.022930                 -0.000005                0.000371                 0.204447                 
0.022922                 -0.000048                0.000284                 0.204480                 
0.022913                 -0.000093                0.000197                 0.204513                 
0.022904                 -0.000139                0.000110                 0.204546                 
0.022894                 -0.000185                0.000024                 0.204578                 
0.022884                 -0.000232                -0.000060                0.204609                 
0.022873                 -0.000280                -0.000144                0.204640                 
0.022861                 -0.000327                -0.000225                0.204670                 
0.022850                 -0.000374                -0.000303                0.204698                 
0.022838                 -0.000421                -0.000380                0.204726                 
0.022826                 -0.000467                -0.000453                0.204753                 
0.022814                 -0.000512                -0.000522                0.204779                 
0.022801                 -0.000556                -0.000589                0.204803                 
0.022789                 -0.000598                -0.000651                0.204826                 
0.022776                 -0.000640                -0.000709                0.204848                 
0.022764                 -0.000679                -0.000763                0.204869                 
0.022752                 -0.000716                -0.000812                0.204888                 
0.022739                 -0.000752                -0.000857                0.204906                 
0.022728                 -0.000785                -0.000897                0.204923                 
0.022716                 -0.000816                -0.000931                0.204939                 
0.022705                 -0.000845                -0.000961                0.204953                 
0.022694                 -0.000871                -0.000986                0.204965                 
0.022683                 -0.000894                -0.001006                0.204977                 
0.022673                 -0.000915                -0.001021                0.204987                 
0.022663                 -0.000933                -0.001030                0.204996                 
0.022654                 -0.000949                -0.001035                0.205003                 
0.022645                 -0.000961                -0.001035                0.205010                 
0.022637                 -0.000971                -0.001029                0.205015                 
0.022630                 -0.000978                -0.001019                0.205019                 
0.022623                 -0.000982                -0.001005                0.205021                 
0.022617                 -0.000984                -0.000986                0.205023                 
0.022611                 -0.000983                -0.000962                0.205024                 
0.022606                 -0.000979                -0.000935                0.205024                 
0.022602                 -0.000973                -0.000904                0.205022                 
0.022598                 -0.000964                -0.000869                0.205020                 
0.022595                 -0.000953                -0.000831                0.205017                 
0.022593                 -0.000939                -0.000789                0.205014                 
0.022591                 -0.000923                -0.000745                0.205009                 
0.022590                 -0.000906                -0.000698                0.205004                 
0.022589                 -0.000886                -0.000648                0.204999                 
0.022589                 -0.000865                -0.000597                0.204993                 
0.022590                 -0.000842                -0.000544                0.204986                 
0.022591                 -0.000817                -0.000489                0.204979                 
0.022593                 -0.000791                -0.000434                0.204972                 
0.022595                 -0.000764                -0.000377                0.204965                 
0.022598                 -0.000736                -0.000320                0.204957                 
0.022602                 -0.000707                -0.000262                0.204949                 
0.022605                 -0.000677                -0.000205                0.204942                 
0.022610                 -0.000647                -0.000148                0.204934                 
0.022614                 -0.000617                -0.000091                0.204926                 
0.022619                 -0.000586                -0.000035                0.204918                 
0.022624                 -0.000555                0.000019                 0.204911                 
0.022630                 -0.000524                0.000073                 0.204904                 
0.022636                 -0.000494                0.000124                 0.204896                 
0.022642                 -0.000464                0.000174                 0.204890                 
0.022648                 -0.000434                0.000222                 0.204883                 
0.022654                 -0.000405                0.000268                 0.204877                 
0.022661                 -0.000377                0.000311                 0.204872                 
0.022667                 -0.000350                0.000352                 0.204867                 
0.022674                 -0.000324                0.000390                 0.204862                 
0.022680                 -0.000300                0.000425                 0.204858                 
0.022687                 -0.000276                0.000457                 0.204854                 
0.022693                 -0.000254                0.000486                 0.204851                 
0.022700                 -0.000233                0.000512                 0.204849                 
0.022706                 -0.000214                0.000534                 0.204847                 
0.022712                 -0.000196                0.000554                 0.204846                 
0.022718                 -0.000181                0.000570                 0.204845                 
0.022724                 -0.000166                0.000582                 0.204845                 
0.022729                 -0.000154                0.000591                 0.204846                 
0.022734                 -0.000143                0.000597                 0.204847                 
0.022739                 -0.000134                0.000600                 0.204849                 
0.022744                 -0.000127                0.000599                 0.204852                 
0.022749                 -0.000122                0.000596                 0.204855                 
0.022753                 -0.000118                0.000589                 0.204859                 
0.022757                 -0.000116                0.000579                 0.204863                 
0.022760                 -0.000116                0.000566                 0.204868                 
0.022763                 -0.000118                0.000550                 0.204874                 
0.022766                 -0.000122                0.000532                 0.204880                 
0.022768                 -0.000126                0.000511                 0.204886                 
0.022770                 -0.000133                0.000488                 0.204894                 
0.022772                 -0.000141                0.000463                 0.204901                 
0.022773                 -0.000151                0.000435                 0.204909                 
0.022774                 -0.000161                0.000406                 0.204918                 
0.022775                 -0.000173                0.000375                 0.204926                 
0.022775                 -0.000187                0.000342                 0.204936                 
0.022775                 -0.000201                0.000309                 0.204945                 
0.022775                 -0.000216                0.000274                 0.204955                 
0.022774                 -0.000233                0.000238                 0.204965                 
0.022773                 -0.000250                0.000201                 0.204976                 
0.022771                 -0.000268                0.000164                 0.204986                 
0.022770                 -0.000286                0.000126                 0.204997                 
0.022768                 -0.000305                0.000088                 0.205008                 
0.022766                 -0.000324                0.000050                 0.205019                 
0.022763                 -0.000344                0.000013                 0.205030                 
0.022761                 -0.000363                -0.000024                0.205042                 
0.022758                 -0.000383                -0.000061                0.205053                 
0.022755                 -0.000403                -0.000097                0.205064                 
0.022752                 -0.000423                -0.000132                0.205076                 
0.022748                 -0.000442                -0.000166                0.205087                 
0.022745                 -0.000461                -0.000199                0.205098                 
0.022741                 -0.000480                -0.000231                0.205109                 
0.022738                 -0.000498                -0.000261                0.205121                 
0.022734                 -0.000516                -0.000289                0.205132                 
0.022731                 -0.000533                -0.000316                0.205142                 
0.022727                 -0.000550                -0.000341                0.205153                 
0.022723                 -0.000565                -0.000364                0.205164                 
0.022719                 -0.000580                -0.000386                0.205174                 
0.022716                 -0.000594                -0.000405                0.205184                 
0.022712                 -0.000607                -0.000422                0.205194                 
0.022709                 -0.000618                -0.000437                0.205204                 
0.022705                 -0.000629                -0.000451                0.205213                 
0.022702                 -0.000639                -0.000461                0.205222                 
0.022699                 -0.000648                -0.000470                0.205231                 
0.022696                 -0.000655                -0.000477                0.205240                 
0.022693                 -0.000662                -0.000481                0.205249                 
0.022690                 -0.000667                -0.000483                0.205257                 
0.022687                 -0.000671                -0.000483                0.205265                 
0.022685                 -0.000674                -0.000482                0.205273                 
0.022683                 -0.000676                -0.000478                0.205280                 
0.022681                 -0.000677                -0.000472                0.205287                 
0.022679                 -0.000676                -0.000464                0.205294                 
0.022677                 -0.000675                -0.000454                0.205301                 
0.022676                 -0.000673                -0.000443                0.205308                 
0.022674                 -0.000669                -0.000430                0.205314                 
0.022673                 -0.000665                -0.000416                0.205320                 
0.022673                 -0.000659                -0.000400                0.205326                 
0.022672                 -0.000653                -0.000383                0.205332                 
0.022672                 -0.000646                -0.000364                0.205337                 
0.022671                 -0.000638                -0.000345                0.205343                 
0.022671                 -0.000629                -0.000324                0.205348                 
0.022671                 -0.000620                -0.000303                0.205353                 
0.022672                 -0.000610                -0.000280                0.205358                 
0.022672                 -0.000599                -0.000258                0.205362                 
0.022673                 -0.000588                -0.000234                0.205367                 
0.022674                 -0.000577                -0.000211                0.205372                 
0.022675                 -0.000565                -0.000187                0.205376                 
0.022676                 -0.000553                -0.000163                0.205380                 
0.022677                 -0.000541                -0.000139                0.205385                 
0.022679                 -0.000528                -0.000115                0.205389                 
0.022680                 -0.000516                -0.000091                0.205393                 
0.022682                 -0.000503                -0.000068                0.205397                 
0.022684                 -0.000491                -0.000045                0.205401                 
0.022685                 -0.000478                -0.000022                0.205405                 
0.022687                 -0.000466                -0.000000                0.205409                 
0.022689                 -0.000454                0.000021                 0.205413                 
0.022691                 -0.000442                0.000041                 0.205417                 
0.022693                 -0.000430                0.000060                 0.205421                 
0.022695                 -0.000419                0.000078                 0.205425                 
0.022697                 -0.000408                0.000095                 0.205429                 
0.022699                 -0.000398                0.000112                 0.205433                 
0.022701                 -0.000388                0.000126                 0.205437                 
0.022703                 -0.000379                0.000140                 0.205442                 
0.022705                 -0.000371                0.000153                 0.205446                 
0.022707                 -0.000362                0.000164                 0.205450                 
0.022708                 -0.000355                0.000173                 0.205454                 
0.022710                 -0.000348                0.000182                 0.205459                 
0.022712                 -0.000342                0.000189                 0.205463                 
0.022713                 -0.000337                0.000195                 0.205467                 
0.022715                 -0.000332                0.000199                 0.205472                 
0.022716                 -0.000328                0.000202                 0.205476                 
0.022717                 -0.000325                0.000203                 0.205481                 
0.022718                 -0.000323                0.000203                 0.205486                 
0.022720                 -0.000321                0.000202                 0.205490                 
0.022720                 -0.000320                0.000200                 0.205495                 
0.022721                 -0.000319                0.000196                 0.205500                 
0.022722                 -0.000320                0.000191                 0.205505                 
0.022722                 -0.000321                0.000185                 0.205509                 
0.022723                 -0.000322                0.000178                 0.205514                 
0.022723                 -0.000325                0.000170                 0.205519                 
0.022723                 -0.000328                0.000160                 0.205524                 
0.022723                 -0.000331                0.000150                 0.205529                 
0.022723                 -0.000335                0.000139                 0.205534                 
0.022723                 -0.000340                0.000127                 0.205539                 
0.022722                 -0.000345                0.000115                 0.205543                 
0.022722                 -0.000350                0.000102                 0.205548                 
0.022721                 -0.000356                0.000088                 0.205553                 
0.022721                 -0.000363                0.000074                 0.205558                 
0.022720                 -0.000369                0.000059                 0.205563                 
0.022719                 -0.000376                0.000044                 0.205568                 
0.022718                 -0.000383                0.000029                 0.205572                 
0.022717                 -0.000391                0.000013                 0.205577                 
0.022716                 -0.000398                -0.000002                0.205582                 
0.022715                 -0.000406                -0.000018                0.205587                 
0.022713                 -0.000414                -0.000034                0.205591                 
0.022712                 -0.000422                -0.000049                0.205596                 
0.022711                 -0.000430                -0.000064                0.205600                 
0.022709                 -0.000438                -0.000079                0.205605                 
0.022708                 -0.000446                -0.000094                0.205609                 
0.022706                 -0.000453                -0.000108                0.205614                 
0.022705                 -0.000461                -0.000122                0.205618                 
0.022703                 -0.000468                -0.000135                0.205622                 
0.022702                 -0.000476                -0.000148                0.205626                 
0.022700                 -0.000483                -0.000160                0.205630                 
0.022699                 -0.000489                -0.000171                0.205635                 
0.022697                 -0.000496                -0.000182                0.205639                 
0.022696                 -0.000502                -0.000192                0.205643                 
0.022694                 -0.000508                -0.000201                0.205646                 
0.022693                 -0.000513                -0.000210                0.205650                 
0.022692                 -0.000518                -0.000218                0.205654                 
0.022691                 -0.000523                -0.000224                0.205658                 
0.022689                 -0.000527                -0.000230                0.205662                 
0.022688                 -0.000531                -0.000235                0.205665                 
0.022687                 -0.000534                -0.000240                0.205669                 
0.022686                 -0.000537                -0.000243                0.205673                 
0.022685                 -0.000540                -0.000245                0.205676                 
0.022685                 -0.000542                -0.000247                0.205680                 
0.022684                 -0.000544                -0.000248                0.205683                 
0.022683                 -0.000545                -0.000248                0.205687                 
0.022683                 -0.000545                -0.000247                0.205690                 
0.022682                 -0.000546                -0.000245                0.205694                 
0.022682                 -0.000546                -0.000242                0.205697                 
0.022682                 -0.000545                -0.000239                0.205701                 
0.022682                 -0.000544                -0.000235                0.205704                 
0.022682                 -0.000543                -0.000231                0.205708                 
0.022682                 -0.000541                -0.000225                0.205712                 
0.022682                 -0.000539                -0.000219                0.205715                 
0.022682                 -0.000536                -0.000213                0.205719                 
0.022682                 -0.000533                -0.000206                0.205723                 
0.022683                 -0.000530                -0.000198                0.205726                 
0.022683                 -0.000527                -0.000191                0.205730                 
0.022684                 -0.000523                -0.000182                0.205734                 
0.022684                 -0.000519                -0.000174                0.205738                 
0.022685                 -0.000515                -0.000165                0.205742                 
0.022686                 -0.000511                -0.000156                0.205746                 
0.022687                 -0.000506                -0.000147                0.205750                 
0.022688                 -0.000502                -0.000137                0.205754                 
0.022689                 -0.000497                -0.000128                0.205758                 
0.022690                 -0.000492                -0.000118                0.205763                 
0.022691                 -0.000487                -0.000109                0.205767                 
0.022692                 -0.000482                -0.000099                0.205772                 
0.022693                 -0.000477                -0.000090                0.205776                 
0.022694                 -0.000472                -0.000080                0.205781                 
0.022695                 -0.000468                -0.000071                0.205785                 
0.022696                 -0.000463                -0.000063                0.205790                 
0.022697                 -0.000458                -0.000054                0.205795                 
0.022698                 -0.000453                -0.000046                0.205800                 
0.022700                 -0.000449                -0.000038                0.205805                 
0.022701                 -0.000444                -0.000030                0.205810                 
0.022702                 -0.000440                -0.000023                0.205815                 
0.022703                 -0.000436                -0.000017                0.205820                 
0.022704                 -0.000432                -0.000010                0.205826                 
0.022705                 -0.000429                -0.000005                0.205831                 
0.022706                 -0.000425                0.000001                 0.205837                 
0.022707                 -0.000422                0.000006                 0.205842                 
0.022708                 -0.000419                0.000010                 0.205848                 
0.022709                 -0.000416                0.000013                 0.205853                 
0.022710                 -0.000414                0.000017                 0.205859                 
0.022711                 -0.000412                0.000019                 0.205865                 
0.022711                 -0.000410                0.000021                 0.205870                 
0.022712                 -0.000408                0.000023                 0.205876                 
0.022713                 -0.000407                0.000024                 0.205882                 
0.022713                 -0.000406                0.000024                 0.205887                 
0.022714                 -0.000405                0.000024                 0.205893                 
0.022714                 -0.000405                0.000024                 0.205899                 
0.022715                 -0.000404                0.000023                 0.205905                 
0.022715                 -0.000405                0.000021                 0.205911                 
0.022715                 -0.000405                0.000019                 0.205916                 
0.022715                 -0.000405                0.000016                 0.205922                 
0.022715                 -0.000406                0.000014                 0.205928                 
0.022715                 -0.000407                0.000010                 0.205934                 
0.022715                 -0.000409                0.000006                 0.205939                 
0.022715                 -0.000410                0.000002                 0.205945                 
0.022715                 -0.000412                -0.000002                0.205950                 
0.022714                 -0.000414                -0.000007                0.205956                 
0.022714                 -0.000416                -0.000012                0.205961                 
0.022714                 -0.000418                -0.000017                0.205967                 
0.022713                 -0.000420                -0.000023                0.205972                 
0.022713                 -0.000423                -0.000029                0.205977                 
0.022712                 -0.000425                -0.000034                0.205983                 
0.022712                 -0.000428                -0.000040                0.205988                 
0.022711                 -0.000431                -0.000047                0.205993                 
0.022710                 -0.000434                -0.000053                0.205998                 
0.022709                 -0.000437                -0.000059                0.206002                 
0.022709                 -0.000440                -0.000065                0.206007                 
0.022708                 -0.000443                -0.000071                0.206012                 
0.022707                 -0.000446                -0.000078                0.206016                 
