roll-rate                pitch-rate               yaw-rate                 acc_x_NED                acc_y_NED                acc_z_NED                
0.000303                 -0.006619                0.000065                 -0.024597                0.006433                 -0.218643                
0.000304                 -0.006860                0.000064                 -0.021410                0.006460                 -0.210231                
0.000304                 -0.007076                0.000064                 -0.018258                0.006486                 -0.201649                
0.000305                 -0.007267                0.000063                 -0.015148                0.006512                 -0.192923                
0.000305                 -0.007433                0.000063                 -0.012088                0.006536                 -0.184082                
0.000305                 -0.007573                0.000062                 -0.009084                0.006560                 -0.175153                
0.000306                 -0.007688                0.000062                 -0.006142                0.006583                 -0.166163                
0.000306                 -0.007777                0.000061                 -0.003269                0.006605                 -0.157138                
0.000306                 -0.007842                0.000061                 -0.000469                0.006626                 -0.148107                
0.000306                 -0.007882                0.000061                 0.002252                 0.006647                 -0.139093                
0.000306                 -0.007897                0.000060                 0.004889                 0.006667                 -0.130124                
0.000306                 -0.007888                0.000060                 0.007437                 0.006686                 -0.121223                
0.000306                 -0.007856                0.000060                 0.009893                 0.006705                 -0.112416                
0.000306                 -0.007801                0.000059                 0.012251                 0.006723                 -0.103725                
0.000306                 -0.007723                0.000059                 0.014509                 0.006741                 -0.095174                
0.000305                 -0.007623                0.000059                 0.016664                 0.006758                 -0.086785                
0.000305                 -0.007503                0.000059                 0.018711                 0.006775                 -0.078578                
0.000305                 -0.007361                0.000058                 0.020650                 0.006792                 -0.070574                
0.000304                 -0.007201                0.000058                 0.022477                 0.006809                 -0.062792                
0.000304                 -0.007021                0.000058                 0.024191                 0.006825                 -0.055250                
0.000303                 -0.006824                0.000058                 0.025790                 0.006841                 -0.047965                
0.000303                 -0.006610                0.000058                 0.027273                 0.006858                 -0.040953                
0.000302                 -0.006379                0.000058                 0.028639                 0.006874                 -0.034230                
0.000301                 -0.006134                0.000058                 0.029889                 0.006890                 -0.027809                
0.000301                 -0.005875                0.000059                 0.031020                 0.006907                 -0.021703                
0.000300                 -0.005603                0.000059                 0.032035                 0.006923                 -0.015923                
0.000299                 -0.005319                0.000059                 0.032932                 0.006940                 -0.010480                
0.000299                 -0.005024                0.000059                 0.033714                 0.006957                 -0.005382                
0.000298                 -0.004719                0.000060                 0.034380                 0.006974                 -0.000638                
0.000297                 -0.004406                0.000060                 0.034933                 0.006992                 0.003746                 
0.000297                 -0.004085                0.000060                 0.035374                 0.007010                 0.007764                 
0.000296                 -0.003758                0.000061                 0.035704                 0.007029                 0.011413                 
0.000295                 -0.003425                0.000061                 0.035927                 0.007048                 0.014688                 
0.000294                 -0.003089                0.000061                 0.036043                 0.007068                 0.017587                 
0.000294                 -0.002749                0.000062                 0.036057                 0.007088                 0.020112                 
0.000293                 -0.002407                0.000062                 0.035970                 0.007109                 0.022260                 
0.000292                 -0.002064                0.000063                 0.035786                 0.007131                 0.024035                 
0.000291                 -0.001721                0.000063                 0.035508                 0.007153                 0.025438                 
0.000291                 -0.001379                0.000064                 0.035139                 0.007176                 0.026473                 
0.000290                 -0.001040                0.000065                 0.034683                 0.007199                 0.027146                 
0.000290                 -0.000703                0.000065                 0.034143                 0.007224                 0.027460                 
0.000289                 -0.000371                0.000066                 0.033524                 0.007249                 0.027425                 
0.000288                 -0.000043                0.000066                 0.032829                 0.007274                 0.027046                 
0.000288                 0.000278                 0.000067                 0.032063                 0.007301                 0.026333                 
0.000287                 0.000593                 0.000067                 0.031229                 0.007328                 0.025294                 
0.000287                 0.000900                 0.000068                 0.030332                 0.007356                 0.023940                 
0.000286                 0.001199                 0.000069                 0.029377                 0.007385                 0.022282                 
0.000286                 0.001489                 0.000069                 0.028366                 0.007414                 0.020332                 
0.000286                 0.001769                 0.000070                 0.027306                 0.007445                 0.018101                 
0.000285                 0.002038                 0.000070                 0.026200                 0.007475                 0.015603                 
0.000285                 0.002297                 0.000071                 0.025053                 0.007507                 0.012850                 
0.000285                 0.002543                 0.000072                 0.023869                 0.007539                 0.009859                 
0.000284                 0.002778                 0.000072                 0.022653                 0.007572                 0.006641                 
0.000284                 0.002999                 0.000073                 0.021409                 0.007606                 0.003213                 
0.000284                 0.003208                 0.000073                 0.020141                 0.007640                 -0.000410                
0.000284                 0.003403                 0.000074                 0.018854                 0.007674                 -0.004213                
0.000284                 0.003584                 0.000074                 0.017553                 0.007709                 -0.008180                
0.000284                 0.003751                 0.000075                 0.016240                 0.007745                 -0.012295                
0.000284                 0.003904                 0.000075                 0.014921                 0.007781                 -0.016542                
0.000284                 0.004042                 0.000076                 0.013600                 0.007818                 -0.020904                
0.000284                 0.004165                 0.000076                 0.012280                 0.007855                 -0.025366                
0.000284                 0.004273                 0.000076                 0.010965                 0.007892                 -0.029910                
0.000284                 0.004367                 0.000077                 0.009659                 0.007929                 -0.034522                
0.000284                 0.004445                 0.000077                 0.008366                 0.007967                 -0.039183                
0.000285                 0.004509                 0.000077                 0.007088                 0.008005                 -0.043880                
0.000285                 0.004558                 0.000078                 0.005830                 0.008043                 -0.048595                
0.000285                 0.004592                 0.000078                 0.004594                 0.008082                 -0.053314                
0.000285                 0.004611                 0.000078                 0.003384                 0.008120                 -0.058020                
0.000286                 0.004616                 0.000078                 0.002203                 0.008159                 -0.062699                
